searge,name,side,desc
func_1084_a,createEntityByID,0,Create a new instance of an entity in the world by using an entity ID.
func_1085_a,splitStack,0,Remove the argument from the stack size. Return a new stack object with argument size.
func_1086_a,writeToNBT,0,Write the stack fields to a NBT object. Return the new NBT object.
func_1088_b,getIconIndex,0,Returns the icon index of the current stack.
func_1089_c,getMaxStackSize,0,Returns maximum size of the stack.
func_1090_a,useItem,0,"Uses the item stack by the player. Gives the coordinates of the block its being used against and the side. Args: player, world, x, y, z, side"
func_1091_a,getItem,0,Returns the object corresponding to the stack.
func_1092_a,hitEntity,0,Calls the corresponding fct in di
func_1093_a,useItemRightClick,0,"Called whenever this item stack is equipped and right clicked. Returns the new item stack to put in the position where this item is. Args: world, player"
func_1094_d,getMaxDamage,0,Returns the max damage an item in the stack can take.
func_1095_a,getDamageVsEntity,0,Returns the damage against a given entity.
func_1096_b,readFromNBT,0,Read the stack fields from a NBT object.
func_1097_a,onItemDestroyedByUse,0,Called when a given item stack is about to be destroyed due to its damage level expiring when used on a block or entity. Typically used by tools.
func_1098_a,getStrVsBlock,0,Returns the strength of the stack against a given block.
func_1099_b,canHarvestBlock,0,Checks if the itemStack object can harvest a specified block
func_1100_b,useItemOnEntity,0,Uses the stack on the entity.
func_1102_e,copy,0,Returns a new stack with the same properties.
func_1103_a,onCraftMatrixChanged,0,Callback for when the crafting matrix is changed.
func_1104_a,onCraftGuiClosed,0,Callback for when the crafting gui is closed.
func_1106_a,sin,0,sin looked up in a table
func_1107_a,abs_max,0,Maximum of the absolute value of two numbers.
func_1108_b,floor_double,0,Returns the greatest integer less than or equal to the double argument
func_1109_a,sqrt_double,0,
func_1110_d,floor_float,0,Returns the greatest integer less than or equal to the float argument
func_1111_a,bucketInt,0,"Buckets an integer with specifed bucket sizes.  Args: i, bucketSize"
func_1112_e,abs,0,
func_1113_c,sqrt_float,0,
func_1114_b,cos,0,cos looked up in the sin table with the appropriate offset
func_1115_a,setTexturePosition,0,
func_1116_a,getRandomSound,0,Gets a random SoundPoolEntry.
func_1117_a,addSound,0,Adds a sound to this sound pool.
func_1118_a,getRandomSoundFromSoundPool,0,"gets a random sound from the specified (by name, can be sound/newsound/streaming/music/newmusic) sound pool."
func_1120_a,getInstance,0,Returns the static instance of this class
func_1121_a,addRecipe,0,Adds a recipe. See spreadsheet on first page for details.
func_1122_a,addRecipes,0,Adds the tool recipes to the CraftingManager.
func_1123_d,createDirectFloatBuffer,0,Creates and returns a direct float buffer with the specified capacity. Applies native ordering to speed up access.
func_1124_a,generateDisplayLists,0,Generates the specified number of display lists and returns the first index.
func_1125_c,createDirectIntBuffer,0,Creates and returns a direct int buffer with the specified capacity. Applies native ordering to speed up access.
func_1126_a,deleteTexturesAndDisplayLists,0,Deletes all textures and display lists. Called when Minecraft is shutdown to free up resources.
func_1127_b,createDirectByteBuffer,0,Creates and returns a direct byte buffer with the specified capacity. Applies native ordering to speed up access.
func_1128_a,generateTextureNames,0,Generates texture names and stores them in the specified buffer.
func_1129_a,addToPath,0,"Adds a path from start to end and returns the whole path (args: unused, start, end, unused, maxDistance)"
func_1130_a,createEntityPathTo,0,Internal implementation of creating a path from an entity to a point
func_1131_a,createEntityPathTo,0,Creates a path from an entity to a specified location within a minimum distance
func_1132_a,getVerticalOffset,0,"Checks if an entity collides with blocks at a position. Returns 1 if clear, 0 for colliding with any solid block, -1 for water(if avoiding water) but otherwise clear, -2 for lava, -3 for fence, -4 for closed trapdoor, 2 if otherwise clear except for open trapdoor or water(if not avoiding)"
func_1133_b,findPathOptions,0,"populates pathOptions with available points and returns the number of options found (args: unused1, currentPoint, unused2, targetPoint, maxDistance)"
func_1134_a,createEntityPath,0,Returns a new PathEntity for a given start and end point
func_1135_a,getSafePoint,0,Returns a point that the entity can safely move to
func_1136_a,openPoint,0,Returns a mapped point or creates and adds one
func_1137_a,createEntityPathTo,0,Creates a path from one entity to another within a minimum distance
func_1138_a,readCompressed,0,Load the gzipped compound from the inputstream.
func_1139_a,write,0,
func_1141_a,read,0,Reads from a CompressedStream.
func_1143_a,writeCompressed,0,"Write the compound, gzipped, to the outputstream."
func_1144_c,getPitch,0,
func_1145_d,getStepSound,0,"Used when a entity walks over, or otherwise interacts with the block."
func_1146_a,getBreakSound,0,"Used when a block breaks, EXA: Player break, Shep eating grass, etc.."
func_1147_b,getVolume,0,
func_1148_a,addRecipes,0,Adds the armor recipes to the CraftingManager.
func_1152_a,isBoxInFrustum,0,"Returns true if the box is inside all 6 clipping planes, otherwise returns false."
func_1153_b,init,0,
func_1154_a,normalize,0,Normalize the frustum.
func_1155_a,getInstance,0,Initialises the ClippingHelper object then returns an instance of it.
func_1156_a,setColorBuffer,0,Update and return colorBuffer with the RGBA values passed as arguments
func_1157_a,setColorBuffer,0,Update and return colorBuffer with the RGBA values passed as arguments
func_1158_b,enableStandardItemLighting,0,Sets the OpenGL lighting properties to the values used when rendering blocks as items
func_1159_a,disableStandardItemLighting,0,Disables the OpenGL lighting properties enabled by enableStandardItemLighting
func_1160_c,copy,0,Returns a copy of the bounding box.
func_1161_b,getBoundingBoxFromPool,0,"Returns a bounding box with the specified bounds from the pool.  Args: minX, minY, minZ, maxX, maxY, maxZ"
func_1162_c,calculateZOffset,0,"if instance and the argument bounding boxes overlap in the Y and X dimensions, calculate the offset between them in the Z dimension.  return var2 if the bounding boxes do not overlap or if var2 is closer to 0 then the calculated offset.  Otherwise return the calculated offset."
func_1163_a,calculateXOffset,0,"if instance and the argument bounding boxes overlap in the Y and Z dimensions, calculate the offset between them in the X dimension.  return var2 if the bounding boxes do not overlap or if var2 is closer to 0 then the calculated offset.  Otherwise return the calculated offset."
func_1164_b,getAverageEdgeLength,0,Returns the average length of the edges of the bounding box.
func_1165_c,setBounds,0,"Sets the bounds of the bounding box. Args: minX, minY, minZ, maxX, maxY, maxZ"
func_1166_c,getOffsetBoundingBox,0,"Returns a bounding box offseted by the specified vector (if negative numbers are given it will shrink). Args: x, y, z"
func_1167_a,isVecInYZ,0,Checks if the specified vector is within the YZ dimensions of the bounding box. Args: Vec3D
func_1168_a,getBoundingBox,0,"Returns a bounding box with the specified bounds. Args: minX, minY, minZ, maxX, maxY, maxZ"
func_1169_a,calculateIntercept,0,
func_1170_a,addCoord,0,"Adds the coordinates to the bounding box extending it if the point lies outside the current ranges. Args: x, y, z"
func_1171_b,setBB,0,Sets the bounding box to the same bounds as the bounding box passed in. Args: axisAlignedBB
func_1172_b,calculateYOffset,0,"if instance and the argument bounding boxes overlap in the X and Z dimensions, calculate the offset between them in the Y dimension.  return var2 if the bounding boxes do not overlap or if var2 is closer to 0 then the calculated offset.  Otherwise return the calculated offset."
func_1174_d,offset,0,"Offsets the current bounding box by the specified coordinates. Args: x, y, z"
func_1175_b,isVecInXZ,0,Checks if the specified vector is within the XZ dimensions of the bounding box. Args: Vec3D
func_1176_c,isVecInXY,0,Checks if the specified vector is within the XY dimensions of the bounding box. Args: Vec3D
func_1177_b,expand,0,"Returns a bounding box expanded by the specified vector (if negative numbers are given it will shrink). Args: x, y, z"
func_1178_a,intersectsWith,0,Returns whether the given bounding box intersects with this one. Args: axisAlignedBB
func_1179_a,isAssigned,0,Returns true if this point has already been assigned to a path
func_1180_a,distanceTo,0,Returns the linear distance to another path point
func_1184_a,getRecipeSize,0,Returns the size of the recipe area
func_1186_a,addBlockDestroyEffects,0,
func_1188_a,clearEffects,0,
func_1189_a,renderParticles,0,"Renders all current particles. Args player, partialTickTime"
func_1190_b,getStatistics,0,
func_1191_a,addBlockHitEffects,0,"Adds block hit particles for the specified block. Args: x, y, z, sideHit"
func_1192_a,addEffect,0,
func_1193_a,updateEffects,0,
func_1194_f,markDirty,0,Marks the current renderer data as dirty and needing to be updated.
func_1195_b,setDontDraw,0,When called this renderer won't draw anymore until its gets initialized again
func_1196_e,skipAllRenderPasses,0,Checks if all render passes are to be skipped. Returns false if the renderer is not initialized
func_1197_a,setPosition,0,Sets a new position for the renderer and setting it up so it can be reloaded with the new data for that position
func_1198_a,updateRenderer,0,Will update this chunk renderer
func_1199_a,updateInFrustum,0,
func_1200_a,getGLCallListForPass,0,Takes in the pass the call list is being requested for. Args: renderPass
func_1201_d,callOcclusionQueryList,0,Renders the occlusion query GL List
func_1202_a,distanceToEntitySquared,0,"Returns the distance of this chunk renderer to the entity without performing the final normalizing square root, for performance reasons."
func_1203_g,setupGLTranslation,0,
func_1204_c,stopRendering,0,
func_1206_a,incrementPathIndex,0,Directs this path to the next point in its array
func_1207_b,isFinished,0,Returns true if this path has reached the end
func_1208_b,closeMinecraft,0,Called when Minecraft is closing down.
func_1209_a,loadResource,0,Loads a resource and passes it to Minecraft to install.
func_1210_a,reloadResources,0,Reloads the resource folder and passes the resources to Minecraft to install.
func_1211_a,downloadAndInstallResource,0,Downloads the resource and saves it to disk then installs it.
func_1212_a,downloadResource,0,Downloads the resource and saves it to disk.
func_1213_a,checkARBOcclusion,0,Checks if we support OpenGL occlusion.
func_1214_n,renderBlockStairs,0,Renders a stair block at the given coordinates
func_1216_f,renderBlockMinecartTrack,0,Renders a minecart track block at the given coordinates
func_1217_b,renderTopFace,0,"Renders the given texture to the top face of the block. Args: block, x, y, z, texture"
func_1218_o,renderBlockDoor,0,Renders a door block at the given coordinates
func_1219_a,renderItemIn3d,0,Checks to see if the item's render type indicates that it should be rendered as a regular block or not.
func_1220_c,renderEastFace,0,"Renders the given texture to the east (z-negative) face of the block.  Args: block, x, y, z, texture"
func_1221_g,renderBlockLadder,0,Renders a ladder block at the given coordinates
func_1222_j,renderBlockFluids,0,Renders a block based on the BlockFluids class at the given coordinates
func_1223_a,renderBlockUsingTexture,0,Renders a block using the given texture instead of the block's own default texture
func_12243_a,createExplosion,0,"Creates an explosion. Args: entity, x, y, z, strength"
func_12244_a,newExplosion,0,returns a new explosion. Does initiation (at time of writing Explosion is not finished)
func_12245_a,handleExplosion,0,
func_12246_a,getEntityByID,0,
func_12247_b,doExplosionB,0,"Does the second part of the explosion (sound, particles, drop spawn)"
func_12248_a,doExplosionA,0,Does the first part of the explosion (destroy blocks)
func_1224_a,getFluidHeight,0,Get fluid height
func_1225_d,renderWestFace,0,"Renders the given texture to the west (z-positive) face of the block.  Args: block, x, y, z, texture"
func_1226_h,renderCrossedSquares,0,"Renders any block requiring croseed squares such as reeds, flowers, and mushrooms"
func_1227_a,renderBlockAsItem,0,"Is called to render the image of a block on an inventory, as a held item, or as a an item on the ground"
func_1228_k,renderStandardBlock,0,Renders a standard cube block at the given coordinates
func_1229_c,renderBlockLever,0,Renders a lever block at the given coordinates
func_1230_b,renderBlockCactusImpl,0,Render block cactus implementation
func_1231_e,renderNorthFace,0,"Renders the given texture to the north (x-negative) face of the block.  Args: block, x, y, z, texture"
func_1232_i,renderBlockStem,0,Render block stem
func_1233_l,renderBlockCactus,0,Renders a cactus block at the given coordinates
func_1234_a,renderBlockByRenderType,0,Renders the block at the given coordinates using the block's rendering type
func_1235_d,renderBlockFire,0,Renders a fire block at the given coordinates
func_1236_f,renderSouthFace,0,"Renders the given texture to the south (x-positive) face of the block.  Args: block, x, y, z, texture"
func_1237_a,renderTorchAtAngle,0,"Renders a torch at the given coordinates, with the base slanting at the given delta"
func_1239_a,drawCrossedSquares,0,Utility function to draw crossed swuares
func_1241_b,renderBlockTorch,0,Renders a torch block at the given coordinates
func_1242_e,renderBlockRedstoneWire,0,Renders a redstone wire block at the given coordinates
func_1243_a,renderBlockFallingSand,0,
func_1244_a,renderBottomFace,0,"Renders the given texture to the bottom face of the block. Args: block, x, y, z, texture"
func_1245_b,renderBlockCropsImpl,0,Render block crops implementation
func_1246_b,crossProduct,0,Returns a new vector with the result of this vector x the specified vector.
func_1247_a,getIntermediateWithXValue,0,"Returns a new vector with x value equal to the second parameter, along the line between this vector and the passed in vector, or null if not possible."
func_1248_b,createVector,0,Static method to create a new vector in the vector list and return it.
func_1249_b,rotateAroundY,0,Rotates the vector around the y axis by the specified angle.
func_1250_b,getIntermediateWithYValue,0,"Returns a new vector with y value equal to the second parameter, along the line between this vector and the passed in vector, or null if not possible."
func_1251_c,distanceTo,0,"Euclidean distance between this and the specified vector, returned as double."
func_1252_b,normalize,0,Normalizes the vector to a length of 1 (except if it is the zero vector)
func_1253_c,lengthVector,0,Returns the length of the vector.
func_1254_e,setComponents,0,"Sets the x,y,z components of the vector as specified."
func_1255_d,squareDistanceTo,0,"The square of the Euclidean distance between this and the vector of x,y,z components passed in."
func_1256_c,getIntermediateWithZValue,0,"Returns a new vector with z value equal to the second parameter, along the line between this vector and the passed in vector, or null if not possible."
func_1257_c,addVector,0,"Adds the specified x,y,z vector components to this vector and returns the resulting vector. Does not change this vector."
func_1258_a,rotateAroundX,0,Rotates the vector around the x axis by the specified angle.
func_1259_a,initialize,0,Initializes the next empty vector slot in the list to 0.
func_1260_a,createVectorHelper,0,"Static method for creating a new Vec3D given the three x,y,z values. This is only called from the other static method which creates and places it in the list."
func_1261_d,squareDistanceTo,0,The square of the Euclidean distance between this and the specified vector.
func_1262_a,subtract,0,Returns a new vector with the result of the specified vector minus this.
func_1263_a,getWorkingDirectory,0,
func_1264_a,getWorkingDirectory,0,
func_1265_d,render,0,
func_1266_a,setBrightness,0,
func_1267_a,getZone,0,
func_1268_a,render,0,
func_1269_e,getPlatform,0,
func_1270_b,loadLevel,0,
func_1271_a,isRunning,0,
func_1272_b,start,0,
func_1273_c,stop,0,
func_140_a,loadDownloadableImageTexture,0,loads the specified downloadable texture or alternative built in texture
func_141_b,doRenderShadowAndFire,0,"Renders the entity's shadow and fire (if its on fire). Args: entity, x, y, z, yaw, partialTickTime"
func_142_a,renderAABB,0,Adds to the tesselator a box using the aabb for the bounds. Args: aabb
func_144_c,renderShadow,0,"Renders the entity shadows at the position, shadow alpha and partialTickTime. Args: entity, x, y, z, shadowAlpha, partialTickTime"
func_145_a,renderShadowOnBlock,0,"Renders a shadow projected down onto the specified block. Brightness of the block plus how far away on the Y axis determines the alpha of the shadow.  Args: block, centerX, centerY, centerZ, blockX, blockY, blockZ, baseAlpha, shadowSize, xOffset, yOffset, zOffset"
func_146_a,renderOffsetAABB,0,"Renders a white box with the bounds of the AABB translated by the offset. Args: aabb, x, y, z"
func_147_a,doRender,0,"Actually renders the given argument. This is a synthetic bridge method, always casting down its argument and then handing it off to a worker function which does the actual work. In all probabilty, the class Render is generic (Render<T extends Entity) and this method has signature public void func_147_a(T entity, double d, double d1, double d2, float f, float f1). But JAD is pre 1.5 so doesn't do that."
func_148_a,renderEntityOnFire,0,"Renders fire on top of the entity. Args: entity, x, y, z, partialTickTime"
func_149_b,getWorldFromRenderManager,0,Returns the render manager's world object
func_151_a,loadTexture,0,loads the specified texture
func_154_a,renderArrow,0,
func_156_a,doRenderFallingSand,0,The actual render method that is used in doRender
func_157_a,renderBoat,0,The render method used in RenderBoat that renders the boat model.
func_161_a,renderItemIntoGUI,0,Renders the item's icon or block into the UI at the specified position.
func_162_a,renderQuad,0,"Adds a quad to the tesselator at the specified position with the set width and height and color.  Args: tessellator, x, y, width, height, color"
func_163_a,renderTexturedQuad,0,"Adds a textured quad to the tesselator at the specified position with the specified texture coords, width and height.  Args: x, y, u, v, width, height"
func_164_b,renderItemOverlayIntoGUI,0,Renders the item's overlay information. Examples being stack count or damage on top of the item's image at the specified position.
func_165_a,doRenderItem,0,Renders the item
func_166_a,shouldRenderPass,0,Queries whether should render the specified pass or not.
func_167_c,renderSwingProgress,0,
func_170_d,handleRotationFloat,0,Defines what float the third param in setRotationAngles of ModelBase is
func_171_a,doRenderLiving,0,
func_172_a,getDeathMaxRotation,0,
func_173_a,getColorMultiplier,0,"Returns an ARGB int color back. Args: entityLiving, lightBrightness, partialTickTime"
func_175_a,preRenderScale,0,Applies the scale to the transform matrix
func_176_a,setWoolColorAndRender,0,
func_177_a,renderCow,0,
func_178_a,scaleSlime,0,sets the scale for the slime based on getSlimeSize in EntitySlime
func_180_a,renderSaddledPig,0,
func_181_a,renderChicken,0,
func_182_a,getWingRotation,0,
func_183_a,updateCreeperColorMultiplier,0,Updates color multiplier based on creeper state called by getColorMultiplier
func_184_a,updateCreeperScale,0,Updates creeper scale in prerender callback
func_185_b,drawFirstPersonHand,0,
func_186_b,renderPlayerScale,0,
func_187_a,setArmorModel,0,"Set the specified armor model as the player model. Args: player, armorSlot, partialTick"
func_188_a,renderPlayer,0,
func_190_a,setSpiderEyeBrightness,0,Sets the spider's glowing eyes
func_191_a,setSpiderDeathMaxRotation,0,
func_192_a,onItemUse,0,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS !"
func_193_a,onItemRightClick,0,"Called whenever this item is equipped and the right mouse button is pressed. Args: itemStack, world, entityPlayer"
func_196_a,getIconIndex,0,Returns the icon index of the stack given as argument.
func_197_c,getMaxDamage,0,Returns the maximum damage an item can take.
func_20001_q,getSendQueue,0,get the client packet send queue
func_20004_a,decrStackSize,0,Decrease the size of the stack in slot (first int arg) by the amount of the second int arg. Returns the new stack.
func_20005_c,getHasStack,0,Returns if this slot contains a stack.
func_20009_a,getItemName,0,
func_20010_a,setIconCoord,0,
func_20011_a,setItemName,0,set name of item from language file
func_20012_a,setBlockName,0,set name of block from language file
func_20013_i,getBlockName,0,
func_20045_c,outfitWithItem,0,"Parameters: item slot, item ID, item damage. If slot >= 0 a new item will be generated with the specified item ID damage."
func_20046_s,updateCloak,0,
func_20058_b,onItemStackChanged,0,
func_20059_m,closeScreen,0,sets current screen to null (used on escape buttons of GUIs)
func_20070_a_,isUseableByPlayer,0,Do not make give this method the name canInteractWith because it clashes with Container
func_20075_i,getItemStack,0,
func_20076_b,setItemStack,0,
func_20078_a,returnEnumOptions,0,
func_20081_a,isMouseOverSlot,0,Returns if the passed mouse position is over the specified slot.
func_20084_d,isAirBlock,0,Returns true if the block at the specified coordinates is empty
func_20087_a,handleOpenWindow,0,
func_20088_a,handleSetSlot,0,
func_20089_a,handleTransaction,0,
func_20090_a,handleUpdateProgressbar,0,
func_20091_a,handleWindowClick,0,
func_20092_a,handleCloseWindow,0,
func_20093_a,handleUpdateSign,0,Updates Client side signs
func_20094_a,handleWindowItems,0,
func_20095_a,renderEars,0,"renders the ears (specifically, deadmau5's)"
func_20096_b,renderCloak,0,"Renders the cloak of the current biped (in most cases, it's a player)"
func_200_b,getItemStackLimit,0,Returns the maximum size of the stack for a specific item. *Isn't this more a Set than a Get?*
func_20102_a,getKeyBindingDescription,0,
func_20103_b,getOptionOrdinalValue,0,
func_20104_a,getOptionFloatValue,0,
func_20107_a,areItemStacksEqual,0,compares ItemStack argument1 with ItemStack argument2; returns true if both ItemStacks are equal
func_20108_a,isItemStackEqual,0,compares ItemStack argument to the instance ItemStack; returns true if both ItemStacks are equal
func_20111_a,getNextTransactionID,0,Gets a unique transaction ID. Parameter is unused.
func_20112_a,updateProgressBar,0,
func_20114_a,updateCraftingResults,0,Updates crafting matrix; called from onCraftMatrixChanged. Args: none
func_20115_a,putStacksInSlots,0,"places itemstacks in first x slots, x being aitemstack.lenght"
func_20117_a,addSlot,0,adds the slot to the inventory it is in
func_20118_a,getSlot,0,
func_20119_a,putStackInSlot,0,"args: slotID, itemStack to put in slot"
func_20120_b,canInteractWith,0,
func_20134_a,onInventoryChanged,0,Called by InventoryBasic.onInventoryChanged() on a array that is never filled.
func_20135_c,returnEnumOrdinal,0,
func_20136_a,getEnumFloat,0,
func_20137_a,getEnumOptions,0,
func_20138_d,getEnumString,0,
func_20140_b,getEnumBoolean,0,
func_20156_a,getAllowedCharacters,0,"Load the font.txt resource file, that is on UTF-8 format. This file contains the characters that minecraft can render Strings on screen."
func_20158_a,updateCraftingInventoryInfo,0,send information about the crafting inventory to the client(currently only for furnace times)
func_20159_a,updateCraftingInventorySlot,0,inform the player of a change in a single slot
func_20160_a,translateKeyFormat,0,Translate a key to current language applying String.format()
func_20161_b,translateNamedKey,0,"Translate a key with a extra '.name' at end added, is used by blocks and items."
func_20162_a,getInstance,0,Return the StringTranslate singleton instance
func_20163_a,translateKey,0,Translate a key to current language.
func_204_a,getStrVsBlock,0,"Returns the strength of the stack against a given block. 1.0F base, (Quality+1)*2 if correct blocktype, 1.5F if sword"
func_207_d,colorMultiplier,0,Returns a integer with hex for 0xrrggbb with this color multiplied against the blocks color. Note only called when first determining what to render.
func_208_a,updateTick,0,Ticks the block if it's been scheduled
func_209_d,canProvidePower,0,Can this block provide power. Only wire currently seems to have this change based on its state.
func_21002_o,getWorldProviderName,0,Gets the name of the world's current chunk provider
func_21004_a,rotateCorpse,0,
func_21006_b,handleRotationFloat,0,
func_21009_c,setMaxStackSize,0,
func_21010_e,getHasSubtypes,0,
func_21011_b,getItemNameIS,0,
func_21012_a,getMetadata,0,Returns the metadata of the block which this Item (ItemBlock) can place
func_21013_d,setMaxDamage,0,set max damage of an Item
func_21014_i,hasContainerItem,0,True if this Item has a container item (a.k.a. crafting result)
func_21015_a,setHasSubtypes,0,
func_21016_h,getContainerItem,0,
func_21017_a,setContainerItem,0,
func_21024_a,receiveClientEvent,0,"Called when the block receives a client event - see World.sendClientEvent. By default, passes it on to the tile entity at this location. Args: world, x, y, z, event number, parameter"
func_21025_b,damageDropped,0,Determines the damage on the item the block drops. Used in cloth and wood.
func_21027_c_,fertilize,0,Apply bonemeal to the crops.
func_21028_c,growTree,0,Attempts to grow a sapling into a tree
func_21029_c,eatCakeSlice,0,Heals the player and removes a slice from the cake.
func_21030_a,calculateCurrentChanges,0,
func_21032_h,setDispenserDefaultDirection,0,sets Dispenser block direction so that the front faces an non-opaque block; chooses west to be direction if all surrounding blocks are opaque.
func_21033_c,dispenseItem,0,dispenses an item from a randomly selected item stack from the blocks inventory into the game world.
func_21034_c,getBlockFromDye,0,Takes a dye damage value and returns the block damage value to match
func_21035_d,getDyeFromBlock,0,Takes a block damage value and returns the dye damage value to match
func_21047_b,getMetadata,0,
func_21053_b,getMetadata,0,
func_21057_b,entityInit,0,
func_21058_a,entityDropItem,0,Drops an item at the position of the entity.
func_21059_b,setFlag,0,"Enable or disable a entity flag, see getEntityFlag to read the know flags."
