"name","notch","supername","package","side"
"Packet106Transaction","ly","Packet","net/minecraft/src","0"
"MovingObjectPosition","gv","","net/minecraft/src","0"
"EntitySpellParticleFX","sq","EntityFX","net/minecraft/src","0"
"BlockTNT","abm","Block","net/minecraft/src","0"
"Material","p","","net/minecraft/src","0"
"ComponentNetherBridgeStraight","ac","ComponentNetherBridgePiece","net/minecraft/src","0"
"BlockStationary","add","BlockFluid","net/minecraft/src","0"
"ChunkPosition","am","","net/minecraft/src","0"
"BlockLeavesBase","zt","Block","net/minecraft/src","0"
"NextTickListEntry","ahn","","net/minecraft/src","0"
"J_SajParser","oi","","net/minecraft/src","0"
"InventoryCrafting","lm","","net/minecraft/src","0"
"ComponentStrongholdRightTurn","xg","ComponentStrongholdLeftTurn","net/minecraft/src","0"
"EntityPigZombie","jm","EntityZombie","net/minecraft/src","0"
"Facing","ot","","net/minecraft/src","0"
"Gui","ht","","net/minecraft/src","0"
"GenLayerSnow","hv","GenLayer","net/minecraft/src","0"
"EntityFootStepFX","nb","EntityFX","net/minecraft/src","0"
"FontRenderer","abe","","net/minecraft/src","0"
"GuiSlider","zd","GuiButton","net/minecraft/src","0"
"RenderItem","iw","Render","net/minecraft/src","0"
"ItemStack","dk","","net/minecraft/src","0"
"ItemPotion","abk","Item","net/minecraft/src","0"
"Packet31RelEntityMove","y","Packet30Entity","net/minecraft/src","0"
"RenderGiantZombie","ahi","RenderLiving","net/minecraft/src","0"
"SaveFormatOld","w","","net/minecraft/src","0"
"EntityClientPlayerMP","cx","EntityPlayerSP","net/minecraft/src","0"
"MaterialWeb","tx","Material","net/minecraft/src","0"
"EntityPortalFX","afy","EntityFX","net/minecraft/src","0"
"BlockFence","nz","Block","net/minecraft/src","0"
"KeyBinding","aby","","net/minecraft/src","0"
"MapGenStructure","hl","MapGenBase","net/minecraft/src","0"
"BlockLeaves","qo","BlockLeavesBase","net/minecraft/src","0"
"BlockNote","yq","BlockContainer","net/minecraft/src","0"
"BlockLockedChest","vj","Block","net/minecraft/src","0"
"BiomeGenDesert","ada","BiomeGenBase","net/minecraft/src","0"
"StructureVillagePieceWeight","aan","","net/minecraft/src","0"
"EnchantmentDigging","kr","Enchantment","net/minecraft/src","0"
"StatsSyncher","jq","","net/minecraft/src","0"
"EnumDoorHelper","aay","","net/minecraft/src","0"
"EntityFallingSand","uo","Entity","net/minecraft/src","0"
"ChunkFilePattern","rm","","net/minecraft/src","0"
"J_LeafFunctor","yz","","net/minecraft/src","0"
"ItemEnderEye","aag","Item","net/minecraft/src","0"
"ModelEnderman","ta","ModelBiped","net/minecraft/src","0"
"Packet28EntityVelocity","qm","Packet","net/minecraft/src","0"
"ComponentVillagePathGen","ahz","ComponentVillageRoadPiece","net/minecraft/src","0"
"MapGenStronghold","dc","MapGenStructure","net/minecraft/src","0"
"J_JsonTrueNodeBuilder","by","","net/minecraft/src","0"
"WorldGenDeadBush","mb","WorldGenerator","net/minecraft/src","0"
"ISaveHandler","nh","","net/minecraft/src","0"
"BlockFenceGate","fp","Block","net/minecraft/src","0"
"Packet130UpdateSign","hy","Packet","net/minecraft/src","0"
"RenderSlime","xm","RenderLiving","net/minecraft/src","0"
"WorldProviderEnd","ol","WorldProvider","net/minecraft/src","0"
"RenderArrow","ahs","Render","net/minecraft/src","0"
"ComponentNetherBridgeCrossing3","bw","ComponentNetherBridgePiece","net/minecraft/src","0"
"ItemPainting","ve","Item","net/minecraft/src","0"
"CodecMus","vo","","net/minecraft/src","0"
"GuiChest","gj","GuiContainer","net/minecraft/src","0"
"MinecraftError","adj","","net/minecraft/src","0"
"EnchantmentKnockback","dz","Enchantment","net/minecraft/src","0"
"WorldGenDungeons","acj","WorldGenerator","net/minecraft/src","0"
"ItemRenderer","n","","net/minecraft/src","0"
"WorldGenSand","fc","WorldGenerator","net/minecraft/src","0"
"SoundPoolEntry","lr","","net/minecraft/src","0"
"RenderLiving","acq","Render","net/minecraft/src","0"
"BlockCactus","ow","Block","net/minecraft/src","0"
"PacketCount","lg","","net/minecraft/src","0"
"EntityPlayer","vi","EntityLiving","net/minecraft/src","0"
"ItemColored","hf","ItemBlock","net/minecraft/src","0"
"BiomeGenBase","sr","","net/minecraft/src","0"
"MaterialLiquid","sn","Material","net/minecraft/src","0"
"SaveConverterMcRegion","adg","SaveFormatOld","net/minecraft/src","0"
"PlayerControllerSP","dm","PlayerController","net/minecraft/src","0"
"Packet12PlayerLook","aht","Packet10Flying","net/minecraft/src","0"
"ThreadCloseConnection","po","","net/minecraft/src","0"
"ContainerEnchantment","ahk","Container","net/minecraft/src","0"
"LoadingScreenRenderer","xw","","net/minecraft/src","0"
"Packet6SpawnPosition","aee","Packet","net/minecraft/src","0"
"BlockBreakable","aaf","Block","net/minecraft/src","0"
"TextureWaterFlowFX","va","TextureFX","net/minecraft/src","0"
"BiomeGenSnow","ce","BiomeGenBase","net/minecraft/src","0"
"IChunkProvider","ej","","net/minecraft/src","0"
"EntityCloudFX","kz","EntityFX","net/minecraft/src","0"
"TileEntityEndPortal","yg","TileEntity","net/minecraft/src","0"
"EntityXPOrb","fk","Entity","net/minecraft/src","0"
"ComponentStrongholdPortalRoom","ir","ComponentStronghold","net/minecraft/src","0"
"StructureBoundingBox","nl","","net/minecraft/src","0"
"BlockMushroom","js","BlockFlower","net/minecraft/src","0"
"PathFinder","rw","","net/minecraft/src","0"
"EntityDragon","oo","EntityDragonBase","net/minecraft/src","0"
"ThreadCheckHasPaid","hr","","net/minecraft/src","0"
"WorldGenLakes","qv","WorldGenerator","net/minecraft/src","0"
"LongHashMapEntry","ahc","","net/minecraft/src","0"
"WorldRenderer","ge","","net/minecraft/src","0"
"WorldGenLiquids","ib","WorldGenerator","net/minecraft/src","0"
"BlockObsidian","ain","BlockStone","net/minecraft/src","0"
"ThreadStatSyncherReceive","uf","","net/minecraft/src","0"
"SoundManager","ahm","","net/minecraft/src","0"
"RenderPig","yf","RenderLiving","net/minecraft/src","0"
"EntitySuspendFX","jd","EntityFX","net/minecraft/src","0"
"J_JsonStringNodeBuilder","h","","net/minecraft/src","0"
"RenderList","aak","","net/minecraft/src","0"
"WorldGenTallGrass","ahu","WorldGenerator","net/minecraft/src","0"
"Packet13PlayerLookMove","ul","Packet10Flying","net/minecraft/src","0"
"ThreadDownloadImageData","aap","","net/minecraft/src","0"
"ModelRenderer","acf","","net/minecraft/src","0"
"GuiSleepMP","rj","GuiChat","net/minecraft/src","0"
"StructureStrongholdPieceWeight3","th","StructureStrongholdPieceWeight","net/minecraft/src","0"
"BlockIce","ahq","BlockBreakable","net/minecraft/src","0"
"TileEntityMobSpawner","ze","TileEntity","net/minecraft/src","0"
"Packet107CreativeSetSlot","dg","Packet","net/minecraft/src","0"
"RenderBlocks","acr","","net/minecraft/src","0"
"ComponentStrongholdStairs2","aeh","ComponentStrongholdStairs","net/minecraft/src","0"
"EntityWolf","aik","EntityAnimal","net/minecraft/src","0"
"ItemDoor","zg","Item","net/minecraft/src","0"
"TexturePackCustom","adw","TexturePackBase","net/minecraft/src","0"
"WorldInfo","si","","net/minecraft/src","0"
"Packet","gt","","net/minecraft/src","0"
"CanvasMojangLogo","td","","net/minecraft/src","0"
"EntitySnowball","aah","EntityThrowable","net/minecraft/src","0"
"ItemShears","abo","Item","net/minecraft/src","0"
"EntityVillager","ai","EntityCreature","net/minecraft/src","0"
"Entity","ia","","net/minecraft/src","0"
"StructureNetherBridgePieceWeight","aaz","","net/minecraft/src","0"
"IChunkLoader","d","","net/minecraft/src","0"
"GuiWinGame","lt","GuiScreen","net/minecraft/src","0"
"J_JsonNodeFactories","ahf","","net/minecraft/src","0"
"EntitySnowmanBase","aeo","EntityCreature","net/minecraft/src","0"
"SorterStatsBlock","agt","","net/minecraft/src","0"
"BlockRedstoneOre","oc","Block","net/minecraft/src","0"
"StructureMineshaftPieces","aez","","net/minecraft/src","0"
"EnchantmentUntouching","gi","Enchantment","net/minecraft/src","0"
"J_JsonNodeDoesNotMatchPathElementsException","xo","J_JsonNodeDoesNotMatchJsonNodeSelectorException","net/minecraft/src","0"
"RenderBiped","tp","RenderLiving","net/minecraft/src","0"
"ServerNBTStorage","lo","","net/minecraft/src","0"
"NBTTagDouble","fg","NBTBase","net/minecraft/src","0"
"ScreenShotHelper","abx","","net/minecraft/src","0"
"GuiControls","ee","GuiScreen","net/minecraft/src","0"
"BlockDetectorRail","ags","BlockRail","net/minecraft/src","0"
"ChatAllowedCharacters","age","","net/minecraft/src","0"
"AxisAlignedBB","c","","net/minecraft/src","0"
"WorldGenMinable","ky","WorldGenerator","net/minecraft/src","0"
"TexturedQuad","pv","","net/minecraft/src","0"
"ItemBucketMilk","om","Item","net/minecraft/src","0"
"ComponentNetherBridgeNetherStalkRoom","io","ComponentNetherBridgePiece","net/minecraft/src","0"
"GenLayerVillageLandscape","afa","GenLayer","net/minecraft/src","0"
"TileEntitySign","u","TileEntity","net/minecraft/src","0"
"ComponentStrongholdLeftTurn","hq","ComponentStronghold","net/minecraft/src","0"
"BlockStone","gm","Block","net/minecraft/src","0"
"Packet100OpenWindow","wm","Packet","net/minecraft/src","0"
"ComponentNetherBridgeStairs","bl","ComponentNetherBridgePiece","net/minecraft/src","0"
"ComponentVillageWoodHut","wi","ComponentVillage","net/minecraft/src","0"
"TileEntityChestRenderer","fv","TileEntitySpecialRenderer","net/minecraft/src","0"
"Packet23VehicleSpawn","gh","Packet","net/minecraft/src","0"
"PathPoint","mo","","net/minecraft/src","0"
"ModelGhast","mu","ModelBase","net/minecraft/src","0"
"BiomeGenEnd","gu","BiomeGenBase","net/minecraft/src","0"
"ContainerCreative","afp","Container","net/minecraft/src","0"
"EntitySlime","aed","EntityLiving","net/minecraft/src","0"
"ModelBox","ad","","net/minecraft/src","0"
"Packet102WindowClick","aa","Packet","net/minecraft/src","0"
"ItemSoup","l","ItemFood","net/minecraft/src","0"
"WorldGenSwamp","qj","WorldGenerator","net/minecraft/src","0"
"EntityEgg","qw","EntityThrowable","net/minecraft/src","0"
"RenderMinecart","pg","Render","net/minecraft/src","0"
"ModelMagmaCube","agy","ModelBase","net/minecraft/src","0"
"GuiOptions","ex","GuiScreen","net/minecraft/src","0"
"Packet43Experience","nw","Packet","net/minecraft/src","0"
"GuiSlotServer","jo","GuiSlot","net/minecraft/src","0"
"TextureLavaFlowFX","ss","TextureFX","net/minecraft/src","0"
"ColorizerFoliage","db","","net/minecraft/src","0"
"EntityBubbleFX","pq","EntityFX","net/minecraft/src","0"
"GuiContainer","mg","GuiScreen","net/minecraft/src","0"
"Packet27Position","zi","Packet","net/minecraft/src","0"
"EnumDoor","mj","","net/minecraft/src","0"
"GenLayerMushroomIsland","aas","GenLayer","net/minecraft/src","0"
"EnumOptionsMappingHelper","ka","","net/minecraft/src","0"
"MaterialTransparent","br","Material","net/minecraft/src","0"
"ISaveFormat","tq","","net/minecraft/src","0"
"GuiFurnace","aaw","GuiContainer","net/minecraft/src","0"
"ComponentMineshaftCorridor","aba","StructureComponent","net/minecraft/src","0"
"TextureWatchFX","at","TextureFX","net/minecraft/src","0"
"EntityItem","ih","Entity","net/minecraft/src","0"
"EntityPlayerSP","di","EntityPlayer","net/minecraft/src","0"
"GenLayerRiverMix","na","GenLayer","net/minecraft/src","0"
"NBTTagShort","cg","NBTBase","net/minecraft/src","0"
"EnumToolMaterial","nu","","net/minecraft/src","0"
"BlockCake","aem","Block","net/minecraft/src","0"
"ItemBoat","abv","Item","net/minecraft/src","0"
"BlockPressurePlate","wx","Block","net/minecraft/src","0"
"EntityRenderer","adt","","net/minecraft/src","0"
"ClippingHelper","ip","","net/minecraft/src","0"
"SpawnListEntry","yx","WeightedRandomChoice","net/minecraft/src","0"
"EntitySkeleton","it","EntityMob","net/minecraft/src","0"
"BlockFluid","agw","Block","net/minecraft/src","0"
"J_ThingWithPosition","if","","net/minecraft/src","0"
"EnchantmentProtection","ii","Enchantment","net/minecraft/src","0"
"PathEntity","dw","","net/minecraft/src","0"
"EntityBreakingFX","ug","EntityFX","net/minecraft/src","0"
"Render","rg","","net/minecraft/src","0"
"BlockSoulSand","mq","Block","net/minecraft/src","0"
"RenderSnowMan","bh","RenderLiving","net/minecraft/src","0"
"TileEntityPiston","agb","TileEntity","net/minecraft/src","0"
"BlockJukeBox","abl","BlockContainer","net/minecraft/src","0"
"StepSoundStone","bj","StepSound","net/minecraft/src","0"
"ItemLilyPad","pd","ItemColored","net/minecraft/src","0"
"ItemSlab","r","ItemBlock","net/minecraft/src","0"
"ModelWolf","ei","ModelBase","net/minecraft/src","0"
"GuiYesNo","go","GuiScreen","net/minecraft/src","0"
"Packet42RemoveEntityEffect","af","Packet","net/minecraft/src","0"
"ItemPiston","afi","ItemBlock","net/minecraft/src","0"
"Packet4UpdateTime","cb","Packet","net/minecraft/src","0"
"EntityFishHook","ael","Entity","net/minecraft/src","0"
"GuiAchievements","qx","GuiScreen","net/minecraft/src","0"
"EntityDamageSource","fq","DamageSource","net/minecraft/src","0"
"EnumArt","sv","","net/minecraft/src","0"
"Packet29DestroyEntity","fw","Packet","net/minecraft/src","0"
"EnumSkyBlock","bn","","net/minecraft/src","0"
"TextureFX","dt","","net/minecraft/src","0"
"CompressedStreamTools","vx","","net/minecraft/src","0"
"BiomeCacheBlock","cq","","net/minecraft/src","0"
"ThreadedChunkLoader","tn","","net/minecraft/src","0"
"EntitySpider","vq","EntityMob","net/minecraft/src","0"
"GuiSlotStats","mx","GuiSlot","net/minecraft/src","0"
"StructureVillageStart","yo","StructureStart","net/minecraft/src","0"
"EntityMinecart","vm","Entity","net/minecraft/src","0"
"ItemSnowball","re","Item","net/minecraft/src","0"
"EntityAnimal","fx","EntityCreature","net/minecraft/src","0"
"EntityPotion","ab","EntityThrowable","net/minecraft/src","0"
"IMob","aey","","net/minecraft/src","0"
"J_Functor","gz","","net/minecraft/src","0"
"ModelBiped","fa","ModelBase","net/minecraft/src","0"
"BlockDoor","uc","Block","net/minecraft/src","0"
"WatchableObject","afh","","net/minecraft/src","0"
"BlockCrops","aha","BlockFlower","net/minecraft/src","0"
"RecipesIngots","ady","","net/minecraft/src","0"
"GuiSmallButton","abs","GuiButton","net/minecraft/src","0"
"ModelDragon","afo","ModelBase","net/minecraft/src","0"
"StepSound","wu","","net/minecraft/src","0"
"ScaledResolution","ef","","net/minecraft/src","0"
"Packet7UseEntity","zm","Packet","net/minecraft/src","0"
"RenderWolf","acb","RenderLiving","net/minecraft/src","0"
"GuiVideoSettings","cc","GuiScreen","net/minecraft/src","0"
"GuiSlotStatsItem","xa","GuiSlotStats","net/minecraft/src","0"
"EntityLavaFX","aw","EntityFX","net/minecraft/src","0"
"Session","dr","","net/minecraft/src","0"
"Packet105UpdateProgressbar","gb","Packet","net/minecraft/src","0"
"BiomeGenMushroomIsland","aev","BiomeGenBase","net/minecraft/src","0"
"ModelBook","uj","ModelBase","net/minecraft/src","0"
"SlotCrafting","afe","Slot","net/minecraft/src","0"
"MapStorage","ew","","net/minecraft/src","0"
"J_JsonFieldNodeSelector","jr","J_LeafFunctor","net/minecraft/src","0"
"StructureStrongholdPieceWeight","ci","","net/minecraft/src","0"
"MusInputStream","cm","","net/minecraft/src","0"
"WorldGenFire","pl","WorldGenerator","net/minecraft/src","0"
"BlockStep","xs","Block","net/minecraft/src","0"
"StatBasic","cl","StatBase","net/minecraft/src","0"
"BlockRedstoneWire","kw","Block","net/minecraft/src","0"
"BlockGrass","jb","Block","net/minecraft/src","0"
"Explosion","xp","","net/minecraft/src","0"
"OpenGlHelper","adx","","net/minecraft/src","0"
"GuiSlotStatsGeneral","b","GuiSlot","net/minecraft/src","0"
"ComponentStrongholdPrison","fj","ComponentStronghold","net/minecraft/src","0"
"ItemEgg","sb","Item","net/minecraft/src","0"
"StructureVillagePieces","xy","","net/minecraft/src","0"
"BlockRail","afr","Block","net/minecraft/src","0"
"ComponentVillageChurch","uz","ComponentVillage","net/minecraft/src","0"
"ComponentNetherBridgeThrone","kf","ComponentNetherBridgePiece","net/minecraft/src","0"
"MapGenRavine","rf","MapGenBase","net/minecraft/src","0"
"GuiEditSign","fl","GuiScreen","net/minecraft/src","0"
"BlockOre","v","Block","net/minecraft/src","0"
"BiomeGenPlains","ym","BiomeGenBase","net/minecraft/src","0"
"GuiScreen","xe","Gui","net/minecraft/src","0"
"DataWatcher","cr","","net/minecraft/src","0"
"PotionHelper","pk","","net/minecraft/src","0"
"Packet20NamedEntitySpawn","ph","Packet","net/minecraft/src","0"
"SlotBrewingStandIngredient","aer","Slot","net/minecraft/src","0"
"ItemCoal","pr","Item","net/minecraft/src","0"
"MovementInputFromOptions","wa","MovementInput","net/minecraft/src","0"
"ActiveRenderInfo","abz","","net/minecraft/src","0"
"EntityEnderEye","bs","Entity","net/minecraft/src","0"
"Packet3Chat","abb","Packet","net/minecraft/src","0"
"TileEntityBrewingStand","tt","TileEntity","net/minecraft/src","0"
"GuiTexturePackSlot","ju","GuiSlot","net/minecraft/src","0"
"BlockMycelium","ez","Block","net/minecraft/src","0"
"EntityGiantZombie","abc","EntityMob","net/minecraft/src","0"
"CanvasMinecraftApplet","ep","","net/minecraft/src","0"
"EnumOS2","qe","","net/minecraft/src","0"
"Packet38EntityStatus","bf","Packet","net/minecraft/src","0"
"ItemArmor","agi","Item","net/minecraft/src","0"
"EnumAction","ps","","net/minecraft/src","0"
"GuiParticle","vg","Gui","net/minecraft/src","0"
"ComponentStrongholdStairs","vl","ComponentStronghold","net/minecraft/src","0"
"GuiScreenServerList","nn","GuiScreen","net/minecraft/src","0"
"Packet33RelEntityMoveLook","mc","Packet30Entity","net/minecraft/src","0"
"TextureWaterFX","gk","TextureFX","net/minecraft/src","0"
"AchievementMap","kp","","net/minecraft/src","0"
"Potion","abg","","net/minecraft/src","0"
"ComponentVillageTorch","abj","ComponentVillage","net/minecraft/src","0"
"TextureOffset","sx","","net/minecraft/src","0"
"BlockSand","cj","Block","net/minecraft/src","0"
"StructureStrongholdStones","qa","StructurePieceBlockSelector","net/minecraft/src","0"
"WorldGenPumpkin","sz","WorldGenerator","net/minecraft/src","0"
"NBTTagCompound","ik","NBTBase","net/minecraft/src","0"
"WorldGenGlowStone2","aew","WorldGenerator","net/minecraft/src","0"
"ModelSkeleton","afg","ModelZombie","net/minecraft/src","0"
"Packet41EntityEffect","ij","Packet","net/minecraft/src","0"
"ComponentMineshaftCross","id","StructureComponent","net/minecraft/src","0"
"ICrafting","abd","","net/minecraft/src","0"
"GuiInventory","hw","GuiContainer","net/minecraft/src","0"
"ItemFishingRod","hd","Item","net/minecraft/src","0"
"EntitySquid","yv","EntityWaterMob","net/minecraft/src","0"
"BiomeGenForest","fo","BiomeGenBase","net/minecraft/src","0"
"EntityCaveSpider","aco","EntitySpider","net/minecraft/src","0"
"GuiSelectWorld","xz","GuiScreen","net/minecraft/src","0"
"GuiIngameMenu","nd","GuiScreen","net/minecraft/src","0"
"MapGenCavesHell","cz","MapGenBase","net/minecraft/src","0"
"ChunkProviderClient","er","","net/minecraft/src","0"
"NBTTagFloat","vd","NBTBase","net/minecraft/src","0"
"PotionEffect","s","","net/minecraft/src","0"
"ComponentStrongholdStraight","gp","ComponentStronghold","net/minecraft/src","0"
"ComponentNetherBridgePiece","rh","StructureComponent","net/minecraft/src","0"
"TileEntityFurnace","oe","TileEntity","net/minecraft/src","0"
"EntityLiving","nq","Entity","net/minecraft/src","0"
"LayerIsland","aib","GenLayer","net/minecraft/src","0"
"IInvBasic","afq","","net/minecraft/src","0"
"TileEntityEnchantmentTable","rq","TileEntity","net/minecraft/src","0"
"PositionTextureVertex","fs","","net/minecraft/src","0"
"ChunkLoader","gy","","net/minecraft/src","0"
"GenLayerIsland","tv","GenLayer","net/minecraft/src","0"
"ModelBlaze","adm","ModelBase","net/minecraft/src","0"
"GuiErrorScreen","ov","GuiScreen","net/minecraft/src","0"
"BlockWeb","kc","Block","net/minecraft/src","0"
"ModelBase","al","","net/minecraft/src","0"
"GuiIngame","qd","Gui","net/minecraft/src","0"
"ItemSapling","z","ItemBlock","net/minecraft/src","0"
"ComponentVillageField","ec","ComponentVillage","net/minecraft/src","0"
"EmptyChunk","hn","Chunk","net/minecraft/src","0"
"J_JsonFormatter","wo","","net/minecraft/src","0"
"ModelSheep2","gg","ModelQuadruped","net/minecraft/src","0"
"ComponentVillageField2","agr","ComponentVillage","net/minecraft/src","0"
"GuiTexturePacks","lb","GuiScreen","net/minecraft/src","0"
"NBTTagString","yt","NBTBase","net/minecraft/src","0"
"ChunkProviderLoadOrGenerate","mv","","net/minecraft/src","0"
"J_JsonFalseNodeBuilder","lh","","net/minecraft/src","0"
"ChunkBlockMap","aig","","net/minecraft/src","0"
"GenLayerRiver","xu","GenLayer","net/minecraft/src","0"
"SaveHandler","e","","net/minecraft/src","0"
"ShapelessRecipes","bc","","net/minecraft/src","0"
"TextureFlamesFX","agp","TextureFX","net/minecraft/src","0"
"RenderCow","lj","RenderLiving","net/minecraft/src","0"
"BlockSponge","wh","Block","net/minecraft/src","0"
"BlockStem","pu","BlockFlower","net/minecraft/src","0"
"ItemMinecart","aex","Item","net/minecraft/src","0"
"BlockWorkbench","rn","Block","net/minecraft/src","0"
"Packet26EntityExpOrb","fi","Packet","net/minecraft/src","0"
"MapGenVillage","xn","MapGenStructure","net/minecraft/src","0"
"BiomeGenRiver","lq","BiomeGenBase","net/minecraft/src","0"
"Packet201PlayerInfo","oz","Packet","net/minecraft/src","0"
"EntityCreature","ww","EntityLiving","net/minecraft/src","0"
"Teleporter","aim","","net/minecraft/src","0"
"BlockNetherStalk","vy","BlockFlower","net/minecraft/src","0"
"StructureStrongholdPieceWeight2","iz","StructureStrongholdPieceWeight","net/minecraft/src","0"
"MapColor","aav","","net/minecraft/src","0"
"StructureStrongholdPieces","tc","","net/minecraft/src","0"
"RailLogic","aiq","","net/minecraft/src","0"
"MapCoord","aar","","net/minecraft/src","0"
"Achievement","ws","StatBase","net/minecraft/src","0"
"J_JsonNodeDoesNotMatchChainedJsonNodeSelectorException","he","J_JsonNodeDoesNotMatchJsonNodeSelectorException","net/minecraft/src","0"
"J_JsonListenerToJdomAdapter","es","","net/minecraft/src","0"
"TileEntityRecordPlayer","agc","TileEntity","net/minecraft/src","0"
"ImageBufferDownload","vt","","net/minecraft/src","0"
"ComponentVillageHouse1","gs","ComponentVillage","net/minecraft/src","0"
"J_JsonNumberNode","ds","J_JsonNode","net/minecraft/src","0"
"MouseHelper","hs","","net/minecraft/src","0"
"StatFileWriter","tk","","net/minecraft/src","0"
"BiomeGenOcean","aeq","BiomeGenBase","net/minecraft/src","0"
"EnumOptions","lp","","net/minecraft/src","0"
"WorldClient","ma","World","net/minecraft/src","0"
"BiomeDecorator","ql","","net/minecraft/src","0"
"BlockDragonEgg","aci","Block","net/minecraft/src","0"
"BlockPistonMoving","qz","BlockContainer","net/minecraft/src","0"
"MinecraftImpl","ahy","Minecraft","net/minecraft/src","0"
"Path","zs","","net/minecraft/src","0"
"J_JsonFieldBuilder","aax","","net/minecraft/src","0"
"Item","acy","","net/minecraft/src","0"
"J_JsonObjectNodeList","nv","","net/minecraft/src","0"
"TileEntity","bq","","net/minecraft/src","0"
"BlockFlowing","ahx","BlockFluid","net/minecraft/src","0"
"EnumOSMappingHelper","qr","","net/minecraft/src","0"
"ComponentStrongholdChestCorridor","ys","ComponentStronghold","net/minecraft/src","0"
"WorldGenTaiga1","us","WorldGenerator","net/minecraft/src","0"
"InventoryPlayer","x","","net/minecraft/src","0"
"Slot","vv","","net/minecraft/src","0"
"Direction","lz","","net/minecraft/src","0"
"ModelVillager","zf","ModelBase","net/minecraft/src","0"
"EntityRainFX","ub","EntityFX","net/minecraft/src","0"
"ItemBed","kn","Item","net/minecraft/src","0"
"Packet108EnchantItem","acv","Packet","net/minecraft/src","0"
"EntityCreeper","abh","EntityMob","net/minecraft/src","0"
"Packet101CloseWindow","hi","Packet","net/minecraft/src","0"
"EntitySmallFireball","yn","EntityFireball","net/minecraft/src","0"
"Packet24MobSpawn","mn","Packet","net/minecraft/src","0"
"J_InvalidSyntaxException","zz","","net/minecraft/src","0"
"ItemRedstone","dl","Item","net/minecraft/src","0"
"ThreadedChunkLoaderPending","vp","","net/minecraft/src","0"
"Packet14BlockDig","sm","Packet","net/minecraft/src","0"
"OpenGlCapsChecker","mm","","net/minecraft/src","0"
"J_JsonStringNode","oj","J_JsonNode","net/minecraft/src","0"
"MapInfo","sa","","net/minecraft/src","0"
"NetClientHandler","abp","NetHandler","net/minecraft/src","0"
"ItemTool","ads","Item","net/minecraft/src","0"
"ImageBuffer","aaj","","net/minecraft/src","0"
"Container","pj","","net/minecraft/src","0"
"EntityPig","fd","EntityAnimal","net/minecraft/src","0"
"GuiSavingLevelString","ao","","net/minecraft/src","0"
"GuiGameOver","j","GuiScreen","net/minecraft/src","0"
"EnchantmentDurability","dq","Enchantment","net/minecraft/src","0"
"J_JsonNumberNodeBuilder","ms","","net/minecraft/src","0"
"GuiContainerCreative","aec","GuiContainer","net/minecraft/src","0"
"EntityMagmaCube","aea","EntitySlime","net/minecraft/src","0"
"Packet5PlayerInventory","lw","Packet","net/minecraft/src","0"
"BlockBrewingStand","ahp","BlockContainer","net/minecraft/src","0"
