client,server,newid
field_1164_d,field_892_d,field_73655_d
field_1165_c,field_893_c,field_73658_c
field_1166_b,field_926_b,field_72311_b
field_1167_a,field_927_a,field_72313_a
field_1168_g,field_928_g,field_72308_g
field_1169_f,field_929_f,field_72307_f
field_1170_e,field_930_e,field_72310_e
field_1171_d,field_931_d,field_72309_d
field_1172_c,field_932_c,field_72312_c
field_1173_b,*,field_78900_b
field_1174_a,*,field_78902_a
field_1175_e,*,field_78899_d
field_1176_d,*,field_78901_c
field_1178_g,*,field_78903_e
field_1187_b,field_934_b,field_76313_b
field_1188_a,field_935_a,field_76315_a
field_1189_d,field_936_d,field_76312_d
field_1190_c,field_937_c,field_76314_c
field_1191_b,field_938_b,field_76306_b
field_1192_a,field_939_a,field_76307_a
field_1194_b,*,field_78237_b
field_1195_a,*,field_78239_a
field_1196_c,*,field_78238_c
field_1198_a,field_20160_a,field_77591_a
field_1208_b,*,field_72557_e
field_1209_a,*,field_72560_a
field_1210_g,*,field_72561_j
field_1211_f,*,field_72564_i
field_1212_e,*,field_72563_h
field_1213_d,*,field_72555_g
field_1215_b,*,field_78456_b
field_1216_a,*,field_78458_a
field_1217_c,*,field_78457_c
field_1218_p,*,field_78736_p
field_1220_n,*,field_78728_n
field_1221_m,*,field_78731_m
field_1222_l,*,field_78730_l
field_12235_b,field_12002_b,field_73614_b
field_12236_a,field_12003_a,field_73616_a
field_12238_d,field_12005_d,field_73612_d
field_12239_c,field_12006_c,field_73615_c
field_1223_k,*,field_78733_k
field_12249_i,field_4310_a,field_77287_j
field_1224_j,*,field_78732_j
field_12250_h,field_12024_h,field_77290_i
field_12252_f,field_12026_f,field_77280_f
field_12253_e,field_12027_e,field_77283_e
field_12254_d,field_12028_d,field_77282_d
field_12255_c,field_12029_c,field_77285_c
field_12256_b,field_12030_b,field_77284_b
field_12257_a,field_12031_a,field_77286_a
field_12259_z,*,field_74332_R
field_1225_i,*,field_78735_i
field_1227_g,*,field_78722_g
field_1229_e,*,field_78724_e
field_1230_d,*,field_78723_d
field_1231_c,*,field_78726_c
field_1232_b,*,field_78725_b
field_1233_a,*,field_78727_a
field_1234_i,*,field_78431_i
field_1235_h,*,field_78430_h
field_1236_g,*,field_78424_g
field_1237_f,*,field_78423_f
field_1238_e,*,field_78426_e
field_1239_d,*,field_78425_d
field_1240_c,*,field_78428_c
field_1241_b,*,field_78427_b
field_1242_a,*,field_78429_a
field_1243_l,*,field_78093_q
field_1244_k,*,field_78095_p
field_1245_m,*,field_78211_k
field_1246_j,*,field_78210_j
field_1247_i,*,field_78213_i
field_1248_h,*,field_78212_h
field_1249_g,*,field_78204_g
field_1250_f,*,field_78203_f
field_1251_e,*,field_78206_e
field_1252_d,*,field_78205_d
field_1253_c,*,field_78208_c
field_1254_b,*,field_78207_b
field_1255_a,*,field_78209_a
field_1256_a,*,field_78154_a
field_1257_b,*,field_78198_b
field_1258_a,*,field_78200_a
field_1259_d,*,field_78197_d
field_1260_c,*,field_78199_c
field_1261_i,*,field_78144_f
field_1262_h,*,field_78147_e
field_1263_g,*,field_78146_d
field_1264_f,*,field_78149_c
field_1265_e,*,field_78148_b
field_1266_d,*,field_78150_a
field_1270_b,*,field_78133_b
field_1271_a,*,field_78135_a
field_1272_g,*,field_78130_g
field_1273_f,*,field_78129_f
field_1274_e,*,field_78132_e
field_1275_d,*,field_78131_d
field_1276_c,*,field_78134_c
field_1277_j,*,field_78117_n
field_1278_i,*,field_78120_m
field_1279_h,*,field_78119_l
field_1280_g,*,field_78124_i
field_1281_f,*,field_78123_h
field_1282_e,*,field_78113_g
field_1283_d,*,field_78112_f
field_1284_c,*,field_78115_e
field_1285_b,*,field_78114_d
field_1286_a,*,field_78116_c
field_1287_a,*,field_78103_a
field_1288_b,*,field_78140_b
field_1289_a,*,field_78142_a
field_1290_h,*,field_78143_h
field_1291_g,*,field_78137_g
field_1292_f,*,field_78136_f
field_1293_e,*,field_78139_e
field_1294_d,*,field_78138_d
field_1295_c,*,field_78141_c
field_1305_b,field_946_b,field_75038_b
field_1306_a,field_947_a,field_75040_a
field_1307_b,*,field_78286_d
field_1308_a,*,field_78290_a
field_1316_v,field_505_v,field_76267_y
field_1317_u,field_4214_u,field_76268_x
field_1318_t,field_507_t,field_76258_w
field_1319_s,field_508_s,field_76259_v
field_1320_r,field_509_r,field_76260_u
field_1322_p,field_511_p,field_76262_s
field_1324_n,field_513_n,field_76265_p
field_1325_m,field_514_m,field_76251_o
field_1326_l,field_515_l,field_76250_n
field_1328_j,field_517_j,field_76252_l
field_1329_i,field_518_i,field_76254_j
field_1331_g,field_520_g,field_76256_h
field_1332_f,field_521_f,field_76244_g
field_1333_e,field_522_e,field_76243_f
field_1334_d,field_523_d,field_76246_e
field_1335_c,field_524_c,field_76245_d
field_1336_b,field_525_b,field_76248_c
field_1337_a,field_526_a,field_76249_a
field_1342_b,*,field_78436_b
field_1343_a,*,field_78438_a
field_1344_c,*,field_78437_c
field_1345_b,*,field_78165_b
field_1346_a,*,field_78166_a
field_1356_a,*,field_78455_a
field_1357_e,*,field_78452_e
field_1360_b,field_1017_b,field_77181_b
field_1361_a,field_1018_a,field_77183_a
field_1362_g,field_1019_g,field_77178_g
field_1363_f,field_1020_f,field_77177_f
field_1364_e,field_1021_e,field_77180_e
field_1365_d,field_1022_d,field_77179_d
field_1366_c,field_1023_c,field_77182_c
field_1367_b,*,field_78333_a
field_1368_a,*,field_78330_e
field_1369_c,*,field_78331_b
field_1370_b,*,field_74512_d
field_1371_a,*,field_74515_c
field_1372_i,*,field_74283_j
field_1373_h,*,field_74284_h
field_1374_g,*,field_74277_g
field_1375_f,*,field_74276_f
field_1376_e,*,field_74279_e
field_1377_d,*,field_74278_d
field_1378_c,*,field_74281_c
field_1379_b,*,field_74280_b
field_1380_a,*,field_74282_a
field_1381_o,*,field_78539_ae
field_1382_n,*,field_78535_ad
field_1383_m,*,field_78537_ab
field_1384_l,*,field_78508_Y
field_1385_k,*,field_78528_u
field_1386_j,*,field_78529_t
field_1387_i,*,field_78530_s
field_1388_h,*,field_78531_r
field_1392_d,*,field_78521_m
field_1393_c,*,field_78520_l
field_1394_b,*,field_78523_k
field_1395_a,*,field_78516_c
field_1396_o,*,field_78811_r
field_1397_n,*,field_78812_q
field_1398_m,*,field_78813_p
field_1399_l,*,field_78803_o
field_1402_i,*,field_78807_k
field_1403_h,*,field_78806_j
field_1404_g,*,field_78809_i
field_1405_f,*,field_78808_h
field_1406_e,*,field_78796_g
field_1407_d,*,field_78795_f
field_1408_c,*,field_78798_e
field_1409_b,*,field_78797_d
field_1410_a,*,field_78800_c
field_1413_b,*,field_76910_a
field_1414_S,*,field_72754_S
field_1415_R,*,field_72755_R
field_1416_Q,*,field_72747_O
field_1417_P,*,field_72746_N
field_1418_O,*,field_72745_M
field_1419_N,*,field_72744_L
field_1420_M,*,field_72751_K
field_1421_L,*,field_72750_J
field_1422_K,*,field_72749_I
field_1423_J,*,field_72748_H
field_1424_I,*,field_72740_G
field_1425_H,*,field_72739_F
field_1426_G,*,field_72737_D
field_1427_F,*,field_72743_C
field_1428_E,*,field_72742_B
field_1429_D,*,field_72741_A
field_1430_C,*,field_72779_z
field_1431_B,*,field_72780_y
field_1432_A,*,field_72781_x
field_1433_z,*,field_72771_w
field_1434_y,*,field_72772_v
field_1435_x,*,field_72773_u
field_1436_w,*,field_72774_t
field_1437_v,*,field_72775_s
field_1438_u,*,field_72776_r
field_1439_t,*,field_72777_q
field_1440_s,*,field_72778_p
field_1441_r,*,field_72764_o
field_1442_q,*,field_72763_n
field_1443_p,*,field_72766_m
field_1444_o,*,field_72765_l
field_1445_n,*,field_72768_k
field_1446_m,*,field_72767_j
field_1447_l,*,field_72770_i
field_1449_j,*,field_72757_g
field_1451_h,*,field_72756_f
field_1452_g,*,field_72759_e
field_1453_f,*,field_72758_d
field_1456_c,*,field_72761_c
field_1457_b,*,field_72760_b
field_1458_a,*,field_72762_a
field_1485_z,*,field_78391_C
field_1486_y,*,field_78390_B
field_1487_x,*,field_78389_A
field_1488_w,*,field_78415_z
field_1489_v,*,field_78416_y
field_1490_u,*,field_78417_x
field_1491_t,*,field_78407_w
field_1492_s,*,field_78408_v
field_1493_r,*,field_78409_u
field_1494_B,*,field_78388_E
field_1495_q,*,field_78410_t
field_1496_A,*,field_78387_D
field_1497_p,*,field_78411_s
field_1498_o,*,field_78412_r
field_1499_n,*,field_78413_q
field_1500_m,*,field_78400_o
field_1501_l,*,field_78399_n
field_1502_k,*,field_78402_m
field_1503_j,*,field_78404_k
field_1504_i,*,field_78403_j
field_1505_h,*,field_78406_i
field_1506_g,*,field_78405_h
field_1507_f,*,field_78392_f
field_1508_e,*,field_78395_e
field_1509_d,*,field_78394_d
field_1510_c,*,field_78397_c
field_1511_b,*,field_78396_b
field_1512_a,*,field_78398_a
field_1513_b,*,field_77387_b
field_1514_a,*,field_77389_a
field_1515_d,*,field_77386_d
field_1516_c,*,field_77388_c
field_1522_s,field_676_s,field_76641_n
field_15235_a,field_15005_a,field_76524_a
field_1523_r,field_677_r,field_76644_m
field_1526_o,field_680_o,field_76643_l
field_1527_n,field_681_n,field_76646_k
field_1529_l,field_683_l,field_76648_i
field_1530_k,field_684_k,field_76647_h
field_1531_j,field_685_j,field_76635_g
field_1537_d,field_691_d,field_76637_e
field_1538_c,field_692_c,field_76636_d
field_1540_a,field_694_a,field_76640_a
field_1541_n,*,field_76964_n
field_1543_l,*,field_76965_l
field_1544_k,*,field_76968_k
field_1545_j,*,field_76967_j
field_1549_f,*,field_76957_f
field_1550_e,*,field_76960_e
field_1551_d,*,field_76959_d
field_1552_c,*,field_76962_c
field_1553_b,*,field_76961_b
field_1554_a,*,field_76963_a
field_1555_b,field_743_b,field_75851_b
field_1556_a,field_744_a,field_75852_a
field_1557_a,field_20108_a,field_77582_a
field_1560_x,*,field_74320_O
field_1561_w,*,field_74318_M
field_1563_u,*,field_74317_L
field_1564_t,*,field_74324_K
field_1565_s,*,field_74311_E
field_1570_o,*,field_74315_B
field_1571_n,*,field_74314_A
field_1572_m,*,field_74366_z
field_1573_l,*,field_74368_y
field_1574_k,*,field_74370_x
field_1575_j,*,field_74351_w
field_1576_i,*,field_74347_j
field_1577_h,*,field_74350_i
field_1578_g,*,field_74337_g
field_1579_f,*,field_74336_f
field_1580_e,*,field_74339_e
field_1581_d,*,field_74338_d
field_1582_c,*,field_74341_c
field_1583_b,*,field_74340_b
field_1584_a,*,field_74342_a
field_1588_a,*,field_74532_a
field_1589_b,field_834_b,field_76053_b
field_1590_a,field_835_a,field_76055_a
field_1591_e,field_836_e,field_76052_e
field_1592_d,field_837_d,field_76051_d
field_1593_c,field_838_c,field_76054_c
field_1602_h,*,field_78365_j
field_1603_g,*,field_78368_i
field_1604_f,*,field_78367_h
field_1605_e,*,field_78358_g
field_1606_d,*,field_78357_f
field_1607_c,*,field_78360_e
field_1610_b,field_848_b,field_75626_c
field_1611_a,field_849_a,field_75625_b
field_1612_d,field_850_d,field_75624_e
field_1613_c,field_851_c,field_75623_d
field_1614_b,field_852_b,field_77992_b
field_1615_a,field_853_a,field_77994_a
field_1616_d,field_854_d,field_77991_e
field_1617_c,field_855_c,field_77993_c
field_1618_c,field_20134_f,field_75152_c
field_1619_b,field_20142_b,field_75179_f
field_1620_a,field_20143_a,field_75181_e
field_1621_b,field_20145_b,field_75160_f
field_1622_a,field_20146_a,field_75162_e
field_1623_z,field_856_z,field_75703_B
field_1624_y,field_857_y,field_75702_A
field_1632_C,field_865_C,field_75700_E
field_1634_B,field_867_B,field_75699_D
field_1636_A,field_869_A,field_75704_C
field_1653_a,field_886_a,field_76144_a
field_1654_b,*,field_78241_b
field_1655_a,*,field_78243_a
field_1656_c,*,field_78242_c
field_1657_b,*,field_77463_b
field_1658_a,*,field_77465_a
field_1659_e,*,field_77462_e
field_1660_d,*,field_77461_d
field_1661_c,*,field_77464_c
field_1662_b,field_20154_b,field_77597_b
field_1664_b,field_20157_b,field_77587_b
field_1665_a,field_20158_a,field_77588_a
field_1666_b,*,field_74286_b
field_1667_a,*,field_74288_a
field_1672_a,*,field_74537_a
field_1673_b,field_940_b,field_75866_b
field_1674_a,field_941_a,field_75868_a
field_1675_d,field_942_d,field_75864_d
field_1676_c,field_943_c,field_75867_c
field_1677_b,field_1028_b,field_72679_b
field_1678_a,field_1029_a,field_72681_a
field_1679_c,field_1030_c,field_72680_c
field_1680_b,field_20173_b,field_77610_b
field_1681_a,field_20174_a,field_77611_a
field_1687_b,*,field_78555_b
field_1688_a,*,field_78557_a
field_1689_d,*,field_78554_d
field_1690_c,*,field_78556_c
field_1691_h,*,field_78564_h
field_1692_g,*,field_78562_g
field_1693_f,*,field_78561_f
field_1694_e,*,field_78563_e
field_1695_a,*,field_74522_a
field_1696_a,*,field_74422_a
field_1697_b,field_963_b,field_72338_b
field_1698_a,field_964_a,field_72340_a
field_1701_f,field_967_f,field_72334_f
field_1702_e,field_968_e,field_72337_e
field_1703_d,field_969_d,field_72336_d
field_1704_c,field_970_c,field_72339_c
field_1705_b,*,field_78460_b
field_1706_a,*,field_78462_a
field_1707_d,*,field_78459_d
field_1708_c,*,field_78461_c
field_1709_j,field_1007_j,field_75842_i
field_1710_i,field_1008_i,field_75841_h
field_1711_h,field_1009_h,field_75834_g
field_1712_g,field_1010_g,field_75833_f
field_1713_f,field_1011_f,field_75836_e
field_1714_e,field_1012_e,field_75835_d
field_1715_d,field_1013_d,field_75840_j
field_1716_c,field_1014_c,field_75838_c
field_1717_b,field_1015_b,field_75837_b
field_1718_a,field_1016_a,field_75839_a
field_1722_c,field_984_c,field_77198_c
field_1728_b,*,field_78876_b
field_1729_a,*,field_78878_a
field_1730_d,*,field_78875_d
field_1731_c,*,field_78877_c
field_1732_z,*,field_78934_v
field_1733_y,*,field_78935_u
field_1734_x,*,field_78936_t
field_1735_w,*,field_78937_s
field_1736_v,*,field_78938_r
field_1737_F,*,field_78916_B
field_1738_u,*,field_78939_q
field_1739_E,*,field_78915_A
field_1741_s,*,field_78940_p
field_1742_D,*,field_78941_z
field_1743_r,*,field_78926_o
field_1744_C,*,field_78942_y
field_1745_B,*,field_78943_x
field_1746_q,*,field_78925_n
field_1747_A,*,field_78933_w
field_1748_p,*,field_78928_m
field_1749_o,*,field_78927_l
field_1750_n,*,field_78930_k
field_1751_m,*,field_78929_j
field_1752_l,*,field_78932_i
field_1753_k,*,field_78931_h
field_1754_j,*,field_78919_g
field_1755_i,*,field_78918_f
field_1759_e,*,field_78921_e
field_1760_d,*,field_78920_d
field_1761_c,*,field_78923_c
field_1762_b,*,field_78922_b
field_1763_a,*,field_78924_a
field_1764_b,field_1004_b,field_75884_a
field_1765_a,field_1005_a,field_75883_c
field_1767_b,*,field_74577_b
field_1768_a,*,field_74579_a
field_1769_c,*,field_74578_c
field_1771_b,*,field_78664_d
field_1772_a,*,field_78669_a
field_1773_d,*,field_78661_f
field_1774_c,*,field_78666_e
field_1775_b,field_1054_b,field_72448_b
field_1776_a,field_1055_a,field_72450_a
field_1779_c,field_1058_c,field_72449_c
field_1780_b,*,field_77384_b
field_1781_a,*,field_77385_a
field_185_a,*,field_71431_Q
field_186_a,*,field_71478_O
field_188_b,field_151_b,field_77275_b
field_189_a,field_152_a,field_77276_a
field_191_a,*,field_76990_c
field_194_c,*,field_76987_f
field_195_d,*,field_76991_a
field_196_d,*,field_76993_a
field_197_d,*,field_77004_a
field_198_d,*,field_76998_a
field_199_d,*,field_77011_a
field_20003_a,*,field_77027_a
field_20006_b,field_20099_d,field_75223_e
field_20007_a,field_20100_c,field_75222_d
field_20008_c,field_20098_e,field_75221_f
field_20017_a,field_20041_b,field_72135_b
field_20018_j,field_20009_j,field_73295_m
field_20019_b,field_20019_b,field_73309_b
field_20020_a,field_20020_a,field_73311_a
field_20021_d,field_20021_d,field_73308_d
field_20022_c,field_20022_c,field_73310_c
field_20023_b,field_20023_b,field_73442_b
field_20024_a,field_20024_a,field_73444_a
field_20025_e,field_20025_e,field_73441_e
field_20026_d,field_20026_d,field_73440_d
field_20027_c,field_20027_c,field_73443_c
field_20028_b,field_20033_b,field_73433_b
field_20029_a,field_20034_a,field_73435_a
field_20030_c,field_20035_c,field_73434_c
field_20031_b,field_20029_b,field_73632_b
field_20032_a,field_20030_a,field_73634_a
field_20033_c,field_20031_c,field_73633_c
field_20034_a,field_20032_a,field_73432_a
field_20035_b,field_20010_b,field_73426_b
field_20036_a,field_20011_a,field_73427_a
field_20037_b,field_20012_b,field_73429_b
field_20038_a,field_20013_a,field_73431_a
field_20039_d,field_20014_d,field_73428_d
field_20040_c,field_20015_c,field_73430_c
field_20041_b,field_20016_b,field_73635_b
field_20042_a,field_20017_a,field_73637_a
field_20043_c,field_20018_c,field_73636_c
field_20047_bv,*,field_70120_cr
field_20061_w,field_20048_aD,field_71085_bR
field_20062_v,field_20049_aC,field_71095_bQ
field_20063_u,field_20050_aB,field_71094_bP
field_20064_t,field_20051_aA,field_71097_bO
field_20065_s,field_20046_az,field_71096_bN
field_20066_r,field_20047_ay,field_71091_bM
field_20067_q,*,field_71084_cw
field_20068_h,field_20052_ap,field_71070_bA
field_20069_g,field_20053_ao,field_71069_bz
field_20071_b,field_40085_b,field_70481_b
field_20072_a,field_40087_a,field_70483_a
field_20073_d,field_40084_d,field_70480_d
field_20074_c,field_40086_c,field_70482_c
field_20077_f,field_20074_f,field_70457_g
field_20079_i,*,field_73754_j
field_20083_l,*,field_73981_b
field_20097_i,*,field_78122_k
field_20098_h,*,field_78121_j
field_20099_f,*,field_78450_g
field_200_e,*,field_77025_h
field_20105_z,*,field_74360_ac
field_20106_A,*,field_74361_ad
field_20121_g,field_20133_g,field_75149_d
field_20122_e,field_20135_e,field_75151_b
field_20123_d,field_20136_d,field_75153_a
field_20124_c,field_20144_c,field_75180_g
field_20125_a,field_20137_a,field_75155_e
field_20126_b,field_20138_b,field_75156_f
field_20127_a,field_20139_a,field_75158_e
field_20128_h,field_20140_h,field_75159_h
field_20129_c,field_20141_c,field_75157_g
field_20130_j,field_20147_j,field_75163_j
field_20131_i,field_20148_i,field_75165_i
field_20132_h,field_20149_h,field_75164_h
field_20133_c,field_20150_c,field_75161_g
field_20142_m,*,field_74387_C
field_20143_l,*,field_74386_B
field_20144_k,*,field_74385_A
field_20155_a,*,field_74414_a
field_20157_a,field_20162_a,field_71568_a
field_20164_b,field_25081_b,field_74815_b
field_20165_a,field_25082_a,field_74817_a
field_201_d,*,field_77022_g
field_203_d,*,field_76988_d
field_204_f,*,field_77073_a
field_205_f,*,field_77092_a
field_206_i,*,field_77110_j
field_207_h,*,field_77111_i
field_208_g,*,field_77108_b
field_20900_b,field_20902_b,field_70795_b
field_20901_a,field_20903_a,field_70797_a
field_20902_c,field_20904_c,field_70796_c
field_20913_d,field_476_ae,field_70505_a
field_20914_E,*,field_73032_d
field_20915_C,*,field_73033_b
field_20917_a,field_20132_a,field_75150_e
field_20918_b,field_20131_b,field_75148_f
field_20920_e,*,field_77045_g
field_20921_a,field_20901_a,field_77853_b
field_20923_e,*,field_70546_d
field_20925_a,*,field_77013_a
field_20926_a,field_20900_a,field_77700_c
field_20927_a,field_20913_a,field_77862_b
field_209_f,*,field_77109_a
field_21018_bf,field_21094_bf,field_77787_bX
field_21019_aW,field_21095_aW,field_77747_aY
field_21020_aV,field_21096_aV,field_77755_aX
field_21021_aU,field_21097_aU,field_77756_aW
field_21022_aX,field_21098_aX,field_77746_aZ
field_21023_a,field_21099_a,field_77860_a
field_21026_bg,field_21026_bg,field_72009_bg
field_21031_b,field_21032_b,field_72174_b
field_21036_b,field_21007_b,field_73338_b
field_21037_a,field_21008_a,field_73340_a
field_21038_e,field_21009_e,field_73337_e
field_21039_d,field_21010_d,field_73336_d
field_21040_c,field_21011_c,field_73339_c
field_21041_b,field_21012_b,field_73506_b
field_21042_a,field_21013_a,field_73508_a
field_21043_f,field_21014_f,field_73503_f
field_21044_e,field_21015_e,field_73505_e
field_21045_d,field_21016_d,field_73504_d
field_21046_c,field_21017_c,field_73507_c
field_21048_b,field_21018_b,field_73392_b
field_21049_a,field_21019_a,field_73393_a
field_21050_b,field_21020_b,field_73366_b
field_21051_a,field_21021_a,field_73367_a
field_21052_l,field_21023_j,field_73486_j
field_21054_i,field_21005_i,field_73501_t
field_21055_h,field_21006_h,field_73502_s
field_21056_b,field_117_b,field_73398_b
field_21064_bx,field_21045_af,field_70180_af
field_21065_a,*,field_70585_a
field_21075_a,field_21071_a,field_70898_d
field_21076_p,field_21050_at,field_70870_bE
field_21077_o,field_21051_as,field_70869_bD
field_21078_n,field_21052_ar,field_70872_bC
field_21079_m,field_21053_aq,field_70871_bB
field_21080_l,field_21054_ap,field_70864_bA
field_21081_k,field_21055_ao,field_70863_bz
field_21082_j,field_21056_an,field_70865_by
field_21083_i,field_21057_am,field_70866_j
field_21084_h,field_21058_al,field_70868_i
field_21085_g,field_21060_ak,field_70867_h
field_21086_f,field_21059_f,field_70860_g
field_21087_c,field_21061_c,field_70859_f
field_21088_b,field_21062_b,field_70862_e
field_21089_a,field_21063_a,field_70861_d
field_21093_bH,*,field_71169_cp
field_21096_b,field_21076_f,field_70415_b
field_21097_a,field_21077_e,field_70416_a
field_210_z,field_4135_z,field_77674_B
field_21101_b,field_21080_f,field_70362_b
field_21102_a,field_21081_e,field_70363_a
field_21104_b,field_21085_b,field_70464_b
field_21120_L,field_21120_L,field_72992_H
field_21121_K,field_21121_K,field_72985_G
field_21122_b,*,field_78201_b
field_21123_a,*,field_78202_a
field_21132_b,field_21157_b,field_75695_b
field_21133_a,field_21158_a,field_75697_a
field_21134_c,field_21159_c,field_75696_c
field_21138_b,field_21140_b,field_77576_b
field_21139_a,field_21141_a,field_77578_a
field_21140_e,field_21142_e,field_77575_e
field_21141_d,field_21143_d,field_77574_d
field_21142_c,field_21144_c,field_77577_c
field_21143_b,field_21137_b,field_77579_b
field_21144_a,field_21138_a,field_77580_a
field_21149_a,field_21133_a,field_75182_e
field_21150_y,field_21100_y,field_76238_C
field_21153_n,*,field_78509_X
field_21154_m,*,field_78502_W
field_21155_l,*,field_78503_V
field_21156_R,*,field_72752_Q
field_21163_b,field_21174_b,field_75676_b
field_21164_a,field_21175_a,field_75678_a
field_21165_d,field_21176_d,field_75675_d
field_21166_c,field_21177_c,field_75677_c
field_21172_g,field_21106_g,field_75604_g
field_21173_f,field_21107_f,field_75603_f
field_211_y,field_4136_y,field_77673_A
field_21201_b,field_21163_b,field_77604_b
field_21202_a,field_21164_a,field_77606_a
field_21210_i,field_21183_i,field_78011_i
field_21211_h,field_21184_h,field_78010_h
field_21212_g,field_21185_g,field_78002_g
field_21213_f,field_21186_f,field_78001_f
field_212_x,field_4137_x,field_77718_z
field_213_w,field_4138_w,field_77719_y
field_214_v,field_4139_v,field_77720_x
field_215_u,field_4140_u,field_77710_w
field_216_t,field_4141_t,field_77711_v
field_217_s,field_4142_s,field_77712_u
field_218_r,field_4143_r,field_77713_t
field_21900_a,*,field_71432_P
field_21901_a,field_21900_a,field_71083_bS
field_21902_bL,*,field_71161_cj
field_21903_bJ,*,field_71162_ch
field_21904_bK,*,field_71160_ci
field_21907_c,field_21902_c,field_71076_b
field_21908_b,field_21901_b,field_71081_bT
field_219_q,field_4144_q,field_77714_s
field_22008_V,*,field_71469_aa
field_22009_h,*,field_71451_h
field_22018_aZ,field_22007_aZ,field_77742_bb
field_22019_aY,field_22008_aY,field_77776_ba
field_22020_bi,field_22010_bi,field_72011_bi
field_22021_bh,field_22011_bh,field_72010_bh
field_22023_b,field_22013_b,field_72221_b
field_22024_a,field_22014_a,field_72223_a
field_22025_c,field_22015_c,field_72222_c
field_22033_a,field_22023_a,field_72230_a
field_22037_a,field_35062_a,field_72244_a
field_22044_b,field_22040_b,field_73623_b
field_22045_a,field_22041_a,field_73625_a
field_22046_e,field_22042_e,field_73622_e
field_22047_d,field_22043_d,field_73621_d
field_22048_c,field_22044_c,field_73624_c
field_22061_z,field_22067_A,field_71089_bV
field_22062_y,*,field_71082_cx
field_22063_x,field_22066_z,field_71079_bU
field_22065_l,*,field_73844_j
field_22073_k,*,field_73822_h
field_22074_i,*,field_73810_g
field_22075_h,*,field_73809_f
field_22076_g,*,field_73812_e
field_22077_f,*,field_73811_d
